"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"51/369"	"325/5245"	2.10026805382098e-08	3.54945301095745e-06	2.96248336012643e-06	"CTNNA1/MAPK9/CASP8/FGFR2/RASSF1/FGFR3/FGFR1/WNT11/ITGA6/HIF1A/MAPK3/FZD3/GLI3/MAPK8/CCND1/FGF1/STAT1/EPAS1/SLC2A1/PIK3CA/CDK2/PPARG/IL6/MYC/ITGAV/IGF1R/PIK3R5/CBLC/WNT9A/SKP2/FOXO1/WNT7A/FZD1/RUNX1/RALGDS/JAK1/FZD5/ITGA2/SMAD3/DAPK3/AXIN2/RAC3/WNT10B/BCL2L1/CYCS/FZD8/CSF1R/BCR/WNT7B/LAMB3/CHUK"	51
"KEGG_TYPE_II_DIABETES_MELLITUS"	"KEGG_TYPE_II_DIABETES_MELLITUS"	"KEGG_TYPE_II_DIABETES_MELLITUS"	"11/369"	"47/5245"	0.000312091667457193	0.0173246481366151	0.014459687638159	"MAPK9/PKM/MAPK3/MAPK8/PIK3CA/PIK3R5/HK1/CACNA1D/HK2/PRKCE/SOCS3"	11
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	"9/369"	"34/5245"	0.000413784864128466	0.0173246481366151	0.014459687638159	"AKR1B1/MTMR2/TPI1/PFKL/ALDOA/HK1/HK2/AKR1B10/FPGT"	9
"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"14/369"	"73/5245"	0.000458360372111534	0.0173246481366151	0.014459687638159	"CTNNA1/ACTN1/ACTN2/FGFR1/MAPK3/SSX2IP/NECTIN2/ACTN4/LMO7/IGF1R/NECTIN4/SMAD3/RAC3/SRC"	14
"KEGG_INSULIN_SIGNALING_PATHWAY"	"KEGG_INSULIN_SIGNALING_PATHWAY"	"KEGG_INSULIN_SIGNALING_PATHWAY"	"21/369"	"137/5245"	0.000512563554337725	0.0173246481366151	0.014459687638159	"PHKA2/MAPK9/PYGL/MAPK3/GYS1/MAPK8/PIK3CA/TRIP10/PRKAB2/FLOT2/PIK3R5/CBLC/FOXO1/HK1/HK2/SH2B2/INPP5D/FASN/PRKAG1/SOCS3/PRKAR1B"	21
"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"13/369"	"70/5245"	0.000999545475878238	0.0256785970321352	0.0214321519919409	"MAPK9/MAPK3/MAPK8/CCND1/STAT1/PIK3CA/PIK3R5/RALGDS/JAK1/SMAD3/RAC3/BCL2L1/CHUK"	13
"KEGG_COLORECTAL_CANCER"	"KEGG_COLORECTAL_CANCER"	"KEGG_COLORECTAL_CANCER"	"12/369"	"62/5245"	0.00106361052795826	0.0256785970321352	0.0214321519919409	"MAPK9/MAPK3/MAPK8/CCND1/PIK3CA/MYC/PIK3R5/RALGDS/SMAD3/AXIN2/RAC3/CYCS"	12
"KEGG_BASAL_CELL_CARCINOMA"	"KEGG_BASAL_CELL_CARCINOMA"	"KEGG_BASAL_CELL_CARCINOMA"	"11/369"	"55/5245"	0.00128783798670515	0.0272055774691462	0.0227066171340118	"WNT11/FZD3/GLI3/WNT9A/WNT7A/FZD1/FZD5/AXIN2/WNT10B/FZD8/WNT7B"	11
"KEGG_MAPK_SIGNALING_PATHWAY"	"KEGG_MAPK_SIGNALING_PATHWAY"	"KEGG_MAPK_SIGNALING_PATHWAY"	"32/369"	"267/5245"	0.00180978089176428	0.0339836634120182	0.0283638174849607	"MAPK8IP2/MAPK9/FGFR2/FGFR3/CACNG4/FGFR1/CACNA1S/PPM1A/NFATC2/MAPK3/MAPK8/MAP2K6/DUSP16/FGF1/GADD45A/DUSP1/DUSP4/HSPA2/DUSP9/MYC/DUSP5/PAK1/RASA2/CACNA1D/PLA2G2F/DUSP7/RAC3/PAK2/PLA2G6/FLNA/MAP3K3/CHUK"	32
"KEGG_APOPTOSIS"	"KEGG_APOPTOSIS"	"KEGG_APOPTOSIS"	"14/369"	"87/5245"	0.00272024904469896	0.0459722088554125	0.0383698286304906	"CAPN1/CASP8/CSF2RB/TNFSF10/PIK3CA/RIPK1/PIK3R5/ENDOD1/DFFB/BCL2L1/CYCS/PRKAR1B/IL1RAP/CHUK"	14
