"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"38/1924"	"54/5245"	4.50831654326863e-07	6.32201421137276e-05	4.68694884940482e-05	"PIK3C2A/INPP4A/PIK3CB/SYNJ2/CDIPT/PIP5K1B/MINPP1/INPP4B/TPI1/PIKFYVE/PLCD4/ALDH6A1/OCRL/IPPK/INPP5K/PIK3C2B/IMPA1/ITPKA/PLCB2/PLCE1/IMPA2/PIP5K1A/ITPKB/INPP5E/PLCB3/PIP4K2A/IPMK/INPP1/SYNJ1/PLCD3/INPPL1/PIP4K2C/PIK3CD/PLCB1/PIP5K1C/PLCD1/INPP5B/PI4KA"	38
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"	"49/1924"	"76/5245"	6.79786474341157e-07	6.32201421137276e-05	4.68694884940482e-05	"PIK3C2A/INPP4A/PIK3CB/DGKG/DGKD/SYNJ2/CDS2/DGKH/CDIPT/PIP5K1B/INPP4B/PIKFYVE/PLCD4/OCRL/ITPR2/IPPK/INPP5K/PIK3C2B/IMPA1/ITPKA/PLCB2/PLCE1/IMPA2/PIK3R5/PIP5K1A/ITPKB/CALM2/DGKQ/PIK3R1/INPP5E/DGKZ/PLCB3/PIP4K2A/ITPR1/INPP1/PRKCA/SYNJ1/CALM3/PLCD3/INPPL1/PIP4K2C/INPP5D/PIK3CD/PLCB1/PIP5K1C/PLCD1/CALM1/INPP5B/PI4KA"	49
"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"47/1924"	"73/5245"	1.22116860681683e-06	7.57124536226433e-05	5.61309078922823e-05	"CREBBP/FYN/VCL/CTNNA1/CSNK2A2/CDC42/ACTN1/ACTB/ACTN2/FGFR1/SORBS1/EP300/CSNK2A1/MAPK3/MET/WASL/TGFBR1/SSX2IP/SNAI1/RAC2/NECTIN2/ACTN4/WASF3/MAP3K7/LMO7/RAC1/IGF1R/IQGAP1/SMAD4/ERBB2/PTPRF/NECTIN4/ACP1/EGFR/PARD3/TCF7L2/PTPRJ/WASF2/SMAD3/RAC3/INSR/PTPRM/SMAD2/ACTG1/PTPN1/SRC/CTNND1"	47
"KEGG_ENDOCYTOSIS"	"KEGG_ENDOCYTOSIS"	"KEGG_ENDOCYTOSIS"	"97/1924"	"181/5245"	1.78938187375393e-06	8.32062571295579e-05	6.1686585647833e-05	"VTA1/RABEP1/EPN3/NEDD4L/PSD/EPN1/ERBB3/FGFR2/PRKCZ/CLTCL1/CDC42/EPN2/TFRC/PLD1/ITCH/DNM2/CHMP2B/EPS15/CHMP5/DNM1L/SH3GLB1/GRK3/IL2RB/CHMP4B/EEA1/PARD6A/RAB11A/MET/DNM1/PIP5K1B/RAB11FIP2/GIT1/HSPA8/EHD1/RAB5B/SMAP1/PIKFYVE/STAM2/CHMP3/DNAJC6/ARAP3/CXCR4/WWP1/PARD6B/RAB22A/IQSEC2/STAMBP/GRK4/PSD4/HSPA2/PLD2/LDLR/CHMP2A/ACAP3/VPS4A/AGAP2/VPS36/VPS45/ARRB1/USP8/GIT2/VPS37B/IGF1R/CLTC/SH3GL1/CBLC/PIP5K1A/IQSEC1/EGFR/SH3KBP1/SH3GLB2/PARD3/DAB2/ASAP1/VPS37A/LDLRAP1/AGAP1/PRKCI/ARF6/VPS37C/RAB31/PDCD6IP/GRK2/HSPA6/CLTB/F2R/RNF41/CSF1R/RAB11B/HGS/PIP5K1C/ARAP1/SRC/SMURF1/HLA-C/ARFGAP3/CHMP1B"	97
"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"157/1924"	"325/5245"	6.33802529229312e-06	0.000235774540873304	0.000174796065955874	"BAD/DVL2/CREBBP/ITGA3/RALBP1/PIAS1/CTNNA1/TPR/LAMC3/MAPK9/PIK3CB/LAMC2/CASP8/FGFR2/RASSF1/FGF22/CDC42/PLD1/TRAF4/NFKB2/FGFR1/ARAF/GSK3B/WNT11/MMP2/LAMB4/LAMB1/ITGA6/FH/HSP90AB1/CRKL/PDGFB/EP300/HIF1A/NFKBIA/STK4/E2F1/LAMA1/MAPK3/AXIN1/FZD3/CCNE1/TGFB1/FGF21/MET/GLI3/TGFBR1/DVL1/MAPK8/SUFU/CCDC6/CUL2/ZBTB16/CCND1/BIRC2/CDKN1B/FZD10/PPARD/VEGFA/MSH3/FGF1/TFG/STAT1/WNT6/EPAS1/MSH6/SLC2A1/CSF3R/PGF/CDK2/PAX8/MAX/TRAF2/RAC2/SMO/LAMA5/TRAF3/PIAS3/RAF1/PPARG/CASP9/COL4A2/CDK4/EGLN1/LAMC1/RAC1/IL6/MYC/ITGAV/IGF1R/PML/PIK3R5/TP53/SMAD4/ERBB2/AKT1/CBLC/ARNT/WNT9A/SKP2/PIK3R1/EGFR/CDKN2B/CDKN2A/TCF7L2/FOXO1/PRKCA/WNT7A/FZD7/FZD1/APPL1/BRAF/FGF17/RUNX1/RALGDS/DVL3/FGF11/JAK1/FZD5/STK36/ITGA2/CASP3/FZD6/HSP90B1/SMAD3/NKX3-1/DAPK3/STAT3/AXIN2/MAP2K1/PTK2/RAC3/WNT10B/FOS/BCL2L1/PIK3CD/BCL2/CYCS/RELA/VEGFB/STAT5B/FZD4/CTBP2/CCNE2/SMAD2/FZD8/GRB2/CSF1R/PTCH1/BCR/MITF/COL4A1/WNT7B/DAPK1/LAMB3/CSF2RA/CHUK"	157
"KEGG_LYSOSOME"	"KEGG_LYSOSOME"	"KEGG_LYSOSOME"	"68/1924"	"121/5245"	7.79913887276e-06	0.00024177330505556	0.000179243367075712	"LAMP2/IDS/SLC11A1/ATP6V0A1/AGA/HEXB/AP3D1/LAPTM4A/CLTCL1/AP3M2/ATP6AP1/AP4E1/MCOLN1/GGA1/ARSA/CTSZ/ACP5/PLA2G15/GGA2/AP3B2/CTSH/LAPTM4B/ASAH1/DNASE2/AP1S1/ABCA2/LIPA/MANBA/TCIRG1/SLC11A2/GNPTAB/ARSB/HYAL1/CTSD/SLC17A5/IDUA/CD68/SORT1/ACP2/CTSL/CD63/CTSV/GALNS/ARSG/CLTC/NPC1/CTSK/AP1S3/ATP6V0D1/CTSS/MFSD8/CTSB/HGSNAT/SMPD1/TPP1/AP1G1/GUSB/GLB1/CTSF/CLTB/AP3S1/PSAPL1/FUCA1/SGSH/GM2A/ENTPD4/NAGA/PPT2"	68
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"	"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"	"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"	"108/1924"	"213/5245"	1.39220264485137e-05	0.000369928131346221	0.000274253453346661	"ITGAL/ITGA3/VCL/BCAR1/PIK3CB/CYFIP2/PPP1R12A/FGFR2/FGF22/CDC42/ACTN1/ACTB/ARHGEF1/ACTN2/FGFR1/ARAF/ITGB5/SSH1/PXN/SLC9A1/ITGA6/EZR/CRKL/PDGFB/MYH9/MYL9/ARHGEF7/MAPK3/MYH14/FGF21/WASL/MYL7/PIP5K1B/GIT1/PFN1/FGF1/PIKFYVE/ITGB6/GNA13/RRAS/FGD3/RAC2/ACTN4/ARPC1B/PAK4/RAF1/ITGB4/CHRM3/MYH10/RRAS2/RAC1/ARPC5L/PAK6/ABI2/ITGAV/DIAPH3/IQGAP1/MYLK3/SSH2/PIK3R5/VAV1/PIP5K1A/PDGFC/PIK3R1/TIAM2/GNA12/EGFR/GSN/PAK1/DOCK1/PIP4K2A/ENAH/TMSB4Y/TIAM1/BRAF/WASF2/FGF17/ITGA5/FGF11/ARPC5/ARPC2/ITGA2/PIP4K2C/MAP2K1/PTK2/RAC3/ITGAM/PDGFD/PIK3CD/GNG12/SSH3/F2/PAK2/CHRM4/F2R/LIMK2/ACTG1/CHRM5/PIP5K1C/PPP1CC/ARHGEF12/PPP1CB/ITGA1/MYL5/ARPC4/ARPC1A/ITGB3/CYFIP1"	108
"KEGG_FOCAL_ADHESION"	"KEGG_FOCAL_ADHESION"	"KEGG_FOCAL_ADHESION"	"100/1924"	"199/5245"	4.63657153870306e-05	0.00107800288274846	0.000799198515223817	"BAD/ITGA3/FYN/VCL/FLT4/LAMC3/MAPK9/BCAR1/PIK3CB/LAMC2/PPP1R12A/RASGRF1/CDC42/ACTN1/ACTB/ACTN2/GSK3B/ITGB5/PXN/LAMB4/LAMB1/ITGA6/CRKL/PDGFB/MYL9/LAMA1/MAPK3/CAV2/CAV1/MET/MYL7/RAPGEF1/MAPK8/COL1A1/VTN/CCND1/BIRC2/VWF/VEGFA/ITGB6/PGF/VASP/RAC2/FLNC/ACTN4/COL5A1/PAK4/LAMA5/RAF1/ITGB4/COL4A2/LAMC1/FLNB/RAC1/TLN1/PAK6/ITGAV/COL2A1/IGF1R/MYLK3/PIK3R5/ERBB2/VAV1/AKT1/PDGFC/PIK3R1/EGFR/PAK1/DOCK1/PRKCA/BRAF/ZYX/SHC1/ITGA5/CAPN2/COL6A3/ITGA2/MAP2K1/THBS3/PTK2/RAC3/PDGFD/PIK3CD/BCL2/TLN2/VEGFB/GRB2/PAK2/ACTG1/PIP5K1C/PPP1CC/COL4A1/LAMB3/FLNA/SRC/PARVA/PPP1CB/ITGA1/MYL5/ITGB3"	100
"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"42/1924"	"70/5245"	5.57536568901328e-05	0.00115224224239608	0.000854237316094433	"BAD/RALBP1/MAPK9/PIK3CB/CDC42/PLD1/ARAF/E2F1/MAPK3/TGFB1/TGFBR1/MAPK8/CCND1/VEGFA/STAT1/PGF/RAC2/RAF1/CASP9/CDK4/RAC1/PIK3R5/TP53/SMAD4/ERBB2/AKT1/PIK3R1/EGFR/CDKN2A/BRAF/RALGDS/JAK1/SMAD3/STAT3/MAP2K1/RAC3/BCL2L1/PIK3CD/RELA/VEGFB/SMAD2/CHUK"	42
"KEGG_MAPK_SIGNALING_PATHWAY"	"KEGG_MAPK_SIGNALING_PATHWAY"	"KEGG_MAPK_SIGNALING_PATHWAY"	"128/1924"	"267/5245"	7.29555820060816e-05	0.00135697382531312	0.00100601907818913	"MAP3K14/MAPK8IP2/PPP5C/MAP2K3/MAPK9/TAB2/RASGRF1/MAP2K4/FGFR2/TNFRSF1A/RASGRP2/PLA2G10/FGF22/CDC42/MAP4K4/RPS6KA2/PRKACA/CACNG4/MAP2K7/NFKB2/FGFR1/MKNK1/MEF2C/CACNA1S/MAPKAPK5/MAP3K1/GADD45B/MKNK2/CRKL/PDGFB/PPM1A/NFATC2/STK4/CDC25B/CACNA1F/MAPK3/TGFB1/FGF21/HSPB1/TGFBR1/MAPK8/PPP3CB/MAP3K8/MAP2K6/LAMTOR3/RAPGEF2/HSPA8/DUSP16/MAPK14/RASGRF2/FGF1/MAPKAPK3/IL1R2/IL1R1/ATF2/GADD45A/RPS6KA1/DUSP1/DUSP4/PPP3CC/NR4A1/MAX/RRAS/HSPA2/TRAF2/ATF4/RAC2/FLNC/ECSIT/CACNG6/JUND/DUSP9/RAF1/RRAS2/TAOK3/MAP3K7/FLNB/RAC1/MYC/ARRB1/DUSP5/PPP3CA/MAP3K12/TP53/AKT1/PRKACB/DUSP10/GNA12/EGFR/PAK1/TAOK2/PRKCA/RASA2/MAPK13/CACNA1D/BRAF/PLA2G2F/FGF17/FGF11/MAPKAPK2/DUSP7/CASP3/MAPK7/CACNB3/MAP4K2/JMJD7-PLA2G4B/MAP2K1/RAC3/MAP3K2/FOS/GNG12/RELA/HSPA6/DDIT3/GRB2/PAK2/PRKX/PLA2G6/MAPK12/NF1/FLNA/MAP3K5/CACNA1E/MAP3K3/CHUK/PPP3R1/NTF4/PLA2G4B"	128
