"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"32/1100"	"73/5245"	8.06771937517075e-06	0.00148446036503142	0.00101908034212683	"FYN/CTNNA1/CDC42/ACTN1/ACTN2/FGFR1/TCF7/SORBS1/MAPK1/MAPK3/WASL/NECTIN1/SSX2IP/MAP3K7/LMO7/IGF1R/PTPRF/NECTIN4/EGFR/PARD3/TCF7L2/TCF7L1/WASF2/TGFBR2/SMAD3/CTNNB1/RAC3/INSR/BAIAP2/ACTG1/PTPN1/SRC"	32
"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"99/1100"	"325/5245"	2.0637610293895e-05	0.00189866014703834	0.00130342801856179	"BAD/ITGA3/ITGA2B/PIAS1/CTNNA1/MAPK9/PIK3CB/LAMC2/CASP8/FGFR2/RASSF1/FGFR3/CDC42/PLD1/FGFR1/TCF7/WNT11/BAX/LAMB4/ITGA6/MAPK1/SOS2/HIF1A/E2F1/MAPK3/IKBKB/CCNE1/TGFB1/GLI3/MAPK8/CUL2/ZBTB16/CCND1/FZD10/MSH3/FGF1/PDGFRB/TFG/WNT6/EPAS1/HDAC1/CSF3R/PGF/PIK3CA/CDK2/CDKN1A/PAX8/LAMA5/TRAF3/PIAS3/PPARG/VHL/IL6/MYC/ITGAV/IGF1R/PML/PIK3R5/TP53/TPM3/WNT9A/SKP2/EGFR/TCF7L2/FOXO1/TCF7L1/WNT7A/FZD7/FZD1/BRAF/RUNX1/RALGDS/JAK1/FZD5/TGFBR2/ITGA2/FZD6/SMAD3/NKX3-1/CRK/CTNNB1/STAT3/AXIN2/MAP2K1/RAC3/WNT10B/FOS/BCL2L1/VEGFB/FZD4/TRAF6/FZD8/CSF1R/WNT7B/LAMB3/PDGFA/MTOR/CHUK/CEBPA"	99
"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"KEGG_PANCREATIC_CANCER"	"29/1100"	"70/5245"	7.61845624259924e-05	0.00360259890202901	0.00247318002427621	"BAD/MAPK9/PIK3CB/CDC42/PLD1/MAPK1/E2F1/MAPK3/IKBKB/TGFB1/MAPK8/CCND1/PGF/PIK3CA/ARHGEF6/PIK3R5/TP53/EGFR/BRAF/RALGDS/JAK1/TGFBR2/SMAD3/STAT3/MAP2K1/RAC3/BCL2L1/VEGFB/CHUK"	29
"KEGG_APOPTOSIS"	"KEGG_APOPTOSIS"	"KEGG_APOPTOSIS"	"34/1100"	"87/5245"	7.83173674354132e-05	0.00360259890202901	0.00247318002427621	"BAD/CASP10/CFLAR/MAP3K14/CAPN1/PIK3CB/CASP8/BAX/CSF2RB/IKBKB/PRKAR2A/IL1R1/TNFRSF10B/PPP3CC/TNFSF10/PIK3CA/PPP3CA/PIK3R5/TP53/PRKACB/ENDOD1/EXOG/CAPN2/ENDOG/DFFB/BCL2L1/TNFRSF10C/PRKX/IRAK1/CHP1/PRKAR1B/IRAK4/CHUK/PPP3R1"	34
"KEGG_PROSTATE_CANCER"	"KEGG_PROSTATE_CANCER"	"KEGG_PROSTATE_CANCER"	"34/1100"	"89/5245"	0.000133039178176657	0.00367355391545801	0.00252189055981099	"BAD/PIK3CB/CREB3L3/FGFR2/FGFR1/TCF7/MAPK1/SOS2/E2F1/MAPK3/IKBKB/CCNE1/CREB3/CCND1/PDGFRB/PIK3CA/CDK2/CDKN1A/ATF4/IGF1R/PIK3R5/TP53/EGFR/TCF7L2/FOXO1/TCF7L1/BRAF/NKX3-1/CTNNB1/MAP2K1/CREB3L2/PDGFA/MTOR/CHUK"	34
"KEGG_COLORECTAL_CANCER"	"KEGG_COLORECTAL_CANCER"	"KEGG_COLORECTAL_CANCER"	"26/1100"	"62/5245"	0.000139754768522859	0.00367355391545801	0.00252189055981099	"BAD/MAPK9/PIK3CB/TCF7/BAX/MAPK1/MAPK3/TGFB1/MAPK8/CCND1/MSH3/PIK3CA/MYC/PIK3R5/TP53/TCF7L2/TCF7L1/BRAF/RALGDS/TGFBR2/SMAD3/CTNNB1/AXIN2/MAP2K1/RAC3/FOS"	26
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"26/1100"	"62/5245"	0.000139754768522859	0.00367355391545801	0.00252189055981099	"ALDH3B1/PKM/ALDH3A2/ENO1/PGM1/PCK2/PGK1/GPI/ALDOC/ALDH2/TPI1/AKR1A1/FBP2/ACSS2/ALDH3B2/LDHA/ALDH1B1/ALDH9A1/GALM/ALDOA/HK2/ALDH7A1/LDHC/PGAM1/BPGM/PGAM4"	26
"KEGG_ACUTE_MYELOID_LEUKEMIA"	"KEGG_ACUTE_MYELOID_LEUKEMIA"	"KEGG_ACUTE_MYELOID_LEUKEMIA"	"24/1100"	"57/5245"	0.000232654072687416	0.00437596535932201	0.00300409521234921	"BAD/PIK3CB/TCF7/MAPK1/SOS2/MAPK3/IKBKB/RPS6KB1/ZBTB16/CCND1/PIK3CA/MYC/PML/PIK3R5/TCF7L2/TCF7L1/BRAF/RUNX1/STAT3/MAP2K1/EIF4EBP1/MTOR/CHUK/CEBPA"	24
"KEGG_THYROID_CANCER"	"KEGG_THYROID_CANCER"	"KEGG_THYROID_CANCER"	"15/1100"	"29/5245"	0.000236996265199358	0.00437596535932201	0.00300409521234921	"TCF7/MAPK1/MAPK3/CCND1/TFG/PAX8/PPARG/MYC/TP53/TPM3/TCF7L2/TCF7L1/BRAF/CTNNB1/MAP2K1"	15
"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	"23/1100"	"54/5245"	0.000254891514445452	0.00437596535932201	0.00300409521234921	"INPP4A/PIK3CB/SYNJ2/INPP4B/TPI1/PIKFYVE/PLCD4/PIK3CA/OCRL/IPPK/IMPA1/PLCE1/ITPKB/INPP5E/PLCB3/IPMK/INPP1/SYNJ1/INPPL1/PIP4K2C/PLCB1/PLCD1/INPP5B"	23
"KEGG_ENDOCYTOSIS"	"KEGG_ENDOCYTOSIS"	"KEGG_ENDOCYTOSIS"	"58/1100"	"181/5245"	0.000261606624742077	0.00437596535932201	0.00300409521234921	"EHD2/RABEP1/EPN3/NEDD4L/PSD/FGFR2/FGFR3/CLTCL1/CDC42/EPN2/TFRC/PLD1/ASAP3/IL2RB/FLT1/PARD6A/RAB11A/RAB11FIP2/SMURF2/EHD1/GRK7/ACAP2/PIKFYVE/STAM2/DNAJC6/CXCR4/WWP1/IQSEC2/PSD4/LDLR/ACAP3/VPS36/STAM/VPS37B/IGF1R/IQSEC1/EGFR/SH3GLB2/PARD3/ARFGAP2/ASAP1/LDLRAP1/FGFR4/VPS37C/RAB4A/RAB31/TRAF6/VPS37D/PARD6G/ERBB4/CXCR2/RNF41/CSF1R/ARAP1/MVB12B/SRC/ARFGAP3/CHMP1B"	58
