"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION"	"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION"	"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION"	"9/763"	"23/10646"	1.55653207992485e-05	0.0168105464631883	0.0162534718240573	"MAPK3/DUSP16/DUSP1/DUSP4/DUSP9/IL6/DUSP5/JAK1/DUSP7"	9
"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS"	"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS"	"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS"	"7/763"	"18/10646"	0.000149250620164236	0.0540734275053516	0.0522815205509832	"GAB2/STAT1/CNTRL/PIK3CA/LRRFIP1/BCR/MYO18A"	7
"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"53/763"	"450/10646"	0.000211805353384512	0.0540734275053516	0.0522815205509832	"PLEKHG6/DEPDC1B/ARHGAP10/ACTN1/TFRC/STK10/PICALM/RASAL2/FAM135A/SYDE2/ARHGEF10/ARHGEF18/SYDE1/WDR91/SH3PXD2A/CPD/TNFAIP1/CCDC88A/RHOU/STBD1/TJP2/PLEKHG1/PIK3CA/OCRL/TRIP10/PLEKHG3/FGD3/CDC42EP1/STARD8/RHPN2/FLOT2/SWAP70/CKAP4/ARHGAP29/FGD4/GRB7/EPHA2/PAK1/MSI2/OBSCN/WHAMM/DLC1/TPM4/RAC3/RALGAPA1/BASP1/PAK2/BCAP31/ARAP1/BCR/FNBP1/SRC/ITSN1"	53
"REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION"	"REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION"	"REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION"	"9/763"	"31/10646"	0.000228064205905303	0.0540734275053516	0.0522815205509832	"GAB2/FGFR1/FGF1/STAT1/CNTRL/PIK3CA/LRRFIP1/BCR/MYO18A"	9
"REACTOME_CELL_JUNCTION_ORGANIZATION"	"REACTOME_CELL_JUNCTION_ORGANIZATION"	"REACTOME_CELL_JUNCTION_ORGANIZATION"	"17/763"	"92/10646"	0.000250339942154405	0.0540734275053516	0.0522815205509832	"CTNNA1/COL17A1/ACTN1/PXN/ITGA6/VASP/NECTIN2/ITGB4/NECTIN4/CLDN12/FBLIM1/CLDN19/LIMS1/CDH5/CLDN4/LAMB3/FLNA"	17
"REACTOME_CELL_CELL_COMMUNICATION"	"REACTOME_CELL_CELL_COMMUNICATION"	"REACTOME_CELL_CELL_COMMUNICATION"	"21/763"	"130/10646"	0.00035091650984822	0.0631649717726796	0.0610717855735849	"CTNNA1/COL17A1/ACTN1/ACTN2/PXN/ITGA6/PIK3CA/VASP/NECTIN2/ACTN4/ITGB4/NECTIN4/CLDN12/FBLIM1/CLDN19/LIMS1/CDH5/CLDN4/LAMB3/FLNA/SRC"	21
"REACTOME_RHOQ_GTPASE_CYCLE"	"REACTOME_RHOQ_GTPASE_CYCLE"	"REACTOME_RHOQ_GTPASE_CYCLE"	"12/763"	"59/10646"	0.000821890225695168	0.126805920535826	0.122603775020993	"DEPDC1B/TFRC/SYDE1/TRIP10/PLEKHG3/CDC42EP1/PAK1/OBSCN/DLC1/PAK2/FNBP1/ITSN1"	12
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS"	"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS"	"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS"	"6/763"	"18/10646"	0.00116763810999988	0.140661699135698	0.136000395265704	"ACTN1/PXN/VASP/FBLIM1/LIMS1/FLNA"	6
"REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE"	"REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE"	"REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE"	"9/763"	"38/10646"	0.00117218082613081	0.140661699135698	0.136000395265704	"GAB2/FGFR1/FGF1/STAT1/CNTRL/PIK3CA/LRRFIP1/BCR/MYO18A"	9
"REACTOME_SIGNALING_BY_FGFR_IN_DISEASE"	"REACTOME_SIGNALING_BY_FGFR_IN_DISEASE"	"REACTOME_SIGNALING_BY_FGFR_IN_DISEASE"	"12/763"	"63/10646"	0.0015048300717347	0.162521647747348	0.157135940122192	"GAB2/FGFR2/FGFR3/FGFR1/FGF1/NCBP2/STAT1/CNTRL/PIK3CA/LRRFIP1/BCR/MYO18A"	12
