"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"REACTOME_METABOLISM_OF_CARBOHYDRATES"	"78/1765"	"293/10646"	7.11085508064516e-06	0.00853807790135271	0.00785944115999782	"ST3GAL1/DERA/PHKA2/TPR/HEXB/GYG2/ST3GAL6/PFKP/PKM/NDST1/HMMR/ENO1/PGM1/AKR1B1/AAAS/PYGL/PCK2/PRPS2/PGK1/HAS3/XYLT1/GYS1/GPI/ENO3/ALDOC/MANBA/GAPDH/TPI1/DSE/PPP2CA/PFKFB4/GBE1/SDC1/GALE/SLC2A1/AKR1A1/B4GALT6/CHPF/SDC4/SLC35B3/NUP153/IDUA/SLC35D2/CHSY1/STAB2/GLCE/PAPSS1/PFKL/PRKACB/PRPS1/TKFC/B3GAT3/ALDOA/EXT2/HS2ST1/SLC26A2/HK1/SEC13/ACAN/B4GALT5/B4GALT3/HK2/SLC37A1/SDC3/TKT/HGSNAT/CHST14/UBB/B3GNT2/CHST11/B3GNT3/CHST15/EXT1/POM121/FUT11/RPE/CALM1/POM121C"	78
"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"REACTOME_RHO_GTPASE_CYCLE"	"109/1765"	"450/10646"	1.39169973942179e-05	0.00853807790135271	0.00785944115999782	"ARHGAP33/PLEKHG6/RALBP1/DEPDC1B/TRIO/ARHGEF5/CYFIP2/MTMR1/SPEN/NCK2/ARHGAP10/ACTN1/ALDH3A2/TFRC/STK10/PICALM/RASAL2/ACTB/CAPZB/GOLGA3/AAAS/HSP90AB1/DSP/SYDE2/DAAM1/TMEM87A/ARHGEF18/SYDE1/SLC1A5/CAV1/RAPGEF1/ARHGAP21/SH3PXD2A/C1QBP/CPD/TNFAIP1/RASGRF2/ECT2/CCDC88A/TMEM59/RHOU/ABCD3/STBD1/TJP2/PLEKHG1/OCRL/WIPF3/PKN1/ARHGAP40/TRIP10/PLEKHG3/FGD3/CDC42EP1/NDUFA5/STARD8/DOCK6/RHPN2/FLOT2/SRRM1/SWAP70/ARHGAP32/SEMA4F/CKAP4/LRRC1/ARHGAP20/FAM13A/FGD4/EPHA2/CDC42BPA/LBR/DOCK11/ADD3/PAK1/DDX4/OBSCN/RNF20/WHAMM/TIAM1/FMNL2/RHPN1/WASF2/CDC42SE2/PGRMC2/DLC1/TPM4/ARL13B/RAC3/WIPF2/MTX1/VANGL1/RALGAPA1/ARHGAP1/BASP1/FAM91A1/GRB2/CDC42EP4/PAK2/ARHGAP45/SHMT2/ACTG1/BCAP31/ARAP1/PLEKHG4/SRGAP1/SRC/SPTAN1/DDRGK1/ITSN2/ITSN1"	109
"REACTOME_RHOA_GTPASE_CYCLE"	"REACTOME_RHOA_GTPASE_CYCLE"	"REACTOME_RHOA_GTPASE_CYCLE"	"42/1765"	"149/10646"	0.000241215565782533	0.0543946678441878	0.0500711865455441	"PLEKHG6/DEPDC1B/TRIO/ARHGEF5/ARHGAP10/TFRC/STK10/AAAS/DAAM1/TMEM87A/ARHGEF18/CAV1/ARHGAP21/C1QBP/RASGRF2/ECT2/ABCD3/STBD1/TJP2/PKN1/ARHGAP40/PLEKHG3/STARD8/RHPN2/FLOT2/ARHGAP32/ARHGAP20/FAM13A/LBR/OBSCN/TIAM1/RHPN1/PGRMC2/DLC1/VANGL1/ARHGAP1/ARHGAP45/BCAP31/ARAP1/PLEKHG4/SRGAP1/DDRGK1"	42
"REACTOME_SIGNALING_BY_ERYTHROPOIETIN"	"REACTOME_SIGNALING_BY_ERYTHROPOIETIN"	"REACTOME_SIGNALING_BY_ERYTHROPOIETIN"	"12/1765"	"25/10646"	0.000258049350240835	0.0543946678441878	0.0500711865455441	"PIK3CB/JAK2/CRKL/RAPGEF1/GAB1/EPO/PIK3R5/SHC1/PIK3CD/GRB2/PLCG2/LYN"	12
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR"	"29/1765"	"92/10646"	0.00028590822583382	0.0543946678441878	0.0500711865455441	"HSPA5/HERPUD1/NFYC/WIPI1/ACADVL/EXOSC5/KDELR3/XBP1/FKBP14/WFS1/EIF2S2/ATF4/DNAJB9/EDEM1/TLN1/SEC31A/HDGF/HYOU1/CREB3L1/SHC1/ATF3/EIF2AK3/CEBPB/DCP2/ERN1/CREB3L2/SRPRA/TSPYL2/GFPT1"	29
"REACTOME_CDC42_GTPASE_CYCLE"	"REACTOME_CDC42_GTPASE_CYCLE"	"REACTOME_CDC42_GTPASE_CYCLE"	"43/1765"	"155/10646"	0.000299631435282284	0.0543946678441878	0.0500711865455441	"ARHGAP33/RALBP1/DEPDC1B/TRIO/ARHGEF5/ARHGAP10/TFRC/DAAM1/SYDE1/CAV1/ARHGAP21/SH3PXD2A/RASGRF2/ECT2/PLEKHG1/WIPF3/ARHGAP40/PLEKHG3/FGD3/CDC42EP1/STARD8/DOCK6/ARHGAP32/ARHGAP20/FGD4/CDC42BPA/LBR/DOCK11/PAK1/TIAM1/FMNL2/CDC42SE2/DLC1/WIPF2/VANGL1/ARHGAP1/CDC42EP4/PAK2/ARHGAP45/ARAP1/PLEKHG4/SRGAP1/ITSN1"	43
"REACTOME_RHOQ_GTPASE_CYCLE"	"REACTOME_RHOQ_GTPASE_CYCLE"	"REACTOME_RHOQ_GTPASE_CYCLE"	"21/1765"	"59/10646"	0.000310320028450949	0.0543946678441878	0.0500711865455441	"ARHGAP33/DEPDC1B/TFRC/SYDE1/SLC1A5/CAV1/ARHGAP21/TRIP10/PLEKHG3/CDC42EP1/ARHGAP32/CDC42BPA/PAK1/OBSCN/DLC1/ARL13B/VANGL1/ARHGAP1/CDC42EP4/PAK2/ITSN1"	21
"REACTOME_CELL_CELL_COMMUNICATION"	"REACTOME_CELL_CELL_COMMUNICATION"	"REACTOME_CELL_CELL_COMMUNICATION"	"37/1765"	"130/10646"	0.000449496574984559	0.0663188468874404	0.0610475895081916	"SKAP2/CTNNA1/PIK3CB/COL17A1/SDK2/NCK2/ACTN1/PVR/ACTB/ACTN2/PXN/ITGA6/TESK1/FLNC/NECTIN2/ACTN4/ITGB4/SFTPD/CDH24/NECTIN4/PARD3/CLDN12/FBLIM1/CLDN19/CLDN3/PTK2/LIMS1/GRB2/CDH5/ACTG1/MAGI2/CLDN4/LAMB3/FLNA/SRC/SPTAN1/CTNND1"	37
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION"	"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION"	"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION"	"11/1765"	"23/10646"	0.000486446309687827	0.0663188468874404	0.0610475895081916	"JAK2/MAPK3/DUSP16/DUSP1/DUSP4/DUSP9/IL6ST/IL6/JAK1/DUSP7/MAP2K1"	11
"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR"	"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR"	"REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR"	"7/1765"	"11/10646"	0.000603918333679148	0.0741007795424314	0.0682109865302869	"EP300/VEGFA/EPAS1/EPO/ARNT/CITED2/HIGD1A"	7
