UniqueCount	AmbigCount
4	21
0	1
1	748
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	18
0	1
0	2
0	3
0	0
0	11
0	0
70	1067
21	0
0	40
450	46
6	49
39	241
5	30
0	0
18	53
0	0
0	0
0	1
14	681
3	42
1	68
0	44
0	67
0	39
54	32
0	0
0	7
0	2
0	0
0	0
0	0
0	1
0	0
0	0
5	3
6	1
0	2
6	2
0	747
0	360
4	433
26	305
0	332
10	164
23	19
20	193
0	230
48	42
0	160
67	60
10	6
21	14
0	53
7	12
0	0
0	6
0	0
0	0
376	1139
1	3
0	1
0	1
0	1
0	1
0	0
0	2
0	1
2	23
0	0
0	0
0	2
0	1
0	0
0	2
0	2
0	0
3	26
258	17991
424	20280
0	0
22	14
1	0
11740	8146
21	21
0	0
0	0
2247	2453
2	17
0	0
0	0
0	44
0	4
0	3
0	3
0	2
0	2
0	6
0	3
0	3
1	3
0	10
0	2
0	3
0	3
0	2
0	4
0	2
3	1
0	4
0	4
0	2
0	0
0	0
0	3
0	1
0	1
0	1
0	1
0	0
0	3
5	16
0	4
3	4
0	0
2	0
0	0
0	0
45	1
0	2
1	163
0	177
18	254
12	64
0	280
7	40
0	246
1	264
7	25
1	207
0	232
0	208
0	233
0	6
1	159
0	168
0	19
0	167
1	193
0	209
0	179
0	6
6	124
0	156
0	152
0	203
0	163
0	184
0	228
0	160
0	166
0	174
0	192
0	7
0	205
0	217
0	170
0	7
0	12
0	30
0	6
0	156
7	11
3	2
0	2
2	1
0	1
0	1
0	0
0	0
2	0
22	0
0	0
0	1
0	0
0	1
0	6
0	5
0	0
0	5
0	1
0	1
0	1
0	1
0	1
0	6
0	2
0	0
0	0
0	0
0	0
576	3365
9	1297
51	3239
0	0
21	594
11	6
409	86
70	17
59	69
39	2
35	73
1	54
2	74
0	2
1	16
0	4
0	4
0	1
0	4
8	0
13	183
59	165
63	157
4	119
0	384
0	317
10	237
0	0
0	0
43	10806
0	10090
0	9594
0	10310
0	124
3	205
10	109
0	1
3	67
220	3449
0	23
1	39
0	43
1	18
1	43
0	38
0	44
4	42
0	44
1	24
0	18
0	0
0	0
1053	2
0	523
5	422
7	538
0	516
151	416
0	460
15	528
0	56
4	315
0	158
0	123
1	129
0	40
6	15
1	2
0	21
0	6
7	11
0	1
0	0
0	0
0	0
0	0
0	0
44	0
12	0
0	118
0	118
0	0
0	0
14	63
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
43	4013
0	3610
3	3004
69	1915
8	1529
2	567
0	667
505	0
4	2
2	1
8	2
7	3
2	3
4	0
1	1060
29	1219
0	1077
22	605
4	635
4	595
4	539
6	64
0	499
7	418
1	52
0	89
0	86
0	86
2	111
0	1
4	15
0	31
9	95
18	0
0	0
1	0
0	26
0	20
4	31
0	31
0	4
0	26
0	0
2	5
5	318
6	362
9	260
0	169
2	0
1	15
0	34
4	0
29	36
0	13
15	3
0	7
0	0
0	0
37	151
5	32
2	7
2	103
0	5
3	43
0	48
12	682
0	1333
0	1327
0	897
1	256
1	1015
0	1507
0	896
112	733
53	475
4	791
0	1328
1	896
0	796
2	1079
0	1134
0	261
7	114
3	39
0	973
0	113
0	209
0	199
4	125
0	155
0	423
0	5
5	39
4	576
3	165
1	173
2	416
2	340
1	337
3	14
5	5
0	171
0	485
6	282
40	153
1	182
0	176
0	59
2	46
2	48
0	57
0	2
0	3
2	4
0	0
6	0
2	88
241	98
1	11
6	0
18	2117
279	2087
2	329
0	424
17	92
0	30
9	107
0	0
1	1006
38	1448
6	1614
12	1062
45	1567
3	339
10	270
59	321
1	0
0	1
32	741
27	706
318	711
124	722
14	31
5	21
0	0
0	1203
67	1438
4	1207
15	895
6	2085
2	1541
5	1852
0	1967
0	509
6	765
2	91
3	139
0	150
11	146
0	314
24	21
4	46
4	1
5	10
2	123
6	119
0	124
0	129
0	114
0	129
0	105
0	108
0	117
0	3
0	103
0	118
0	118
0	39
174	354
0	150
34	196
21	2
21	208
0	17
0	4
63	0
0	251
7	281
28	337
0	88
22	96
3	0
4	0
1	1
7	0
1	0
3	1
1	128
9	790
301	918
6	16
5	25
0	0
0	2
28	1030
0	821
30	972
1	55
38	626
43	420
0	0
1	0
0	0
2	1082
5	771
0	1041
0	880
0	1009
0	2
0	78
0	201
3	0
3	0
761	1311
9	1065
0	246
267	51
0	1
4	1
0	0
987	0
10	0
176	0
138	1229
24	1278
0	1350
0	1377
0	1134
10	1220
0	1337
23	14
3	33
32	1265
4	26
0	972
0	17
1	1
0	89
0	1349
5	688
0	59
0	1088
1	898
8	6
12	15
0	986
3	135
13	11
0	42
43	142
5	391
0	359
12	179
0	88
3	87
1	0
0	18
26	9
7	14
0	12
0	9
0	8
3	10
3	3
0	1
39	1281
0	1242
1	1092
0	1061
0	1053
0	1019
0	1019
0	1019
0	53
0	0
1	206
16	2124
1	2157
38	744
11	287
0	0
0	0
0	16
24	737
0	682
6	264
1	492
1	563
0	343
0	585
0	625
0	596
0	391
17	12
3	91
2	35
0	3
7	80
0	3
1	25
15	70
2	97
5	43
0	3
0	0
2	0
97	452
0	0
4	0
0	0
0	0
5	167
7	12
1	177
0	129
29	1775
2	1661
0	1457
1	783
0	1
2	345
0	112
0	35
7	284
1	37
1	28
0	235
6	214
5	258
3	254
1	136
0	0
0	7690
42	9258
193	9604
3	8373
0	8252
0	9388
0	8065
0	6727
0	9381
0	8248
0	3982
0	8305
0	9349
1	9259
0	9258
0	9109
0	8935
0	7844
3	8470
0	7432
1	8326
2	8177
0	5716
0	4983
24	1326
1	3050
0	1749
0	659
0	1
1	92
0	0
0	5
0	4
0	1
0	5
0	2
0	1
0	1
14	4
0	4
6	141
3	128
0	8
7	35
23	15
3	2
0	24
0	5
0	24
0	4
0	2
12	18
0	14
0	1
6	11
0	1
3	0
1	0
0	3
0	6
0	3
0	3
0	5
0	4
0	1
0	5
0	2
0	3
0	0
0	5
0	2
0	0
0	3
0	1
0	2
0	0
0	3
0	0
0	0
175	1924
1	139
2	39
0	19
0	19
2	5
0	1829
1	57
0	1562
0	149
0	262
0	174
0	260
22	194
0	246
0	287
0	211
63	101
9	63
2	113
0	8
0	1617
1	206
1	1007
1	1065
0	29
0	0
4	0
0	0
8	79
1	77
6	250
0	450
2	263
54	123
5	164
0	500
0	240
1	240
8	231
2	74
1	277
0	0
2	0
0	0
0	19
1052	25
0	0
0	2
2	6
0	10
4	10
23	134
1	111
7	117
0	2
7	8
1	5
9	42
0	54
14	2
1	3
0	0
0	0
53	1
0	1
0	0
35	820
0	130
49	1523
2	713
3	8
8	802
4	581
100	973
6	142
8	621
0	666
0	462
0	470
0	99
3	39
0	7
0	0
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
36	555
0	450
1	269
0	40
0	6
0	0
5	2
0	44
0	135
0	13
1	0
0	4
0	0
0	15
0	15
0	0
0	0
0	0
0	0
1	0
0	0
0	2
0	2
1	2
0	2
0	2
0	4
0	1
0	1
0	1
0	2
2	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	15
0	171
0	170
0	179
1	171
0	39
0	178
0	32
0	7
0	3
0	2
0	167
1	2
1	163
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	2
0	2
0	2
0	2
0	0
0	2
0	2
3	0
0	0
0	0
0	0
0	0
0	0
0	0
235	810
0	810
5	796
0	78
4	11
1	75
55	532
0	0
0	47
0	46
1	24
0	2
1	17
0	3
0	5
0	0
0	0
0	9
7	9
0	7
0	6
0	8
0	8
0	6
77	377
0	377
63	367
110	369
60	13
6	156
1	52
0	12
0	1
0	137
0	116
3	31
0	363
0	311
0	168
0	316
0	314
0	111
0	109
0	136
0	157
0	352
3	89
0	2
0	145
0	59
0	0
0	0
0	58
0	7
0	218
0	205
0	283
25	605
0	161
1	4
0	314
0	4
0	365
16	394
0	502
1	469
1	176
0	266
0	270
0	252
0	293
0	386
1	223
0	27
0	62
0	20
0	294
0	258
1	45
0	221
0	2
0	0
0	0
0	0
0	0
7	16
1	12
0	14
0	1
1357	235
8	235
0	25
0	0
0	0
0	657
0	761
0	779
3	764
0	658
0	737
0	736
0	696
0	675
0	725
0	643
0	711
0	749
0	644
1	663
0	631
0	8
2	478
0	228
1	458
0	39
0	41
0	249
0	119
0	71
0	55
0	11
0	341
0	305
2	320
2	336
0	336
0	343
0	332
0	328
1	10
2	19
3	501
38	514
4	558
0	500
0	516
0	491
0	489
0	494
0	498
5	177
0	7
0	1
0	1
4	7
7	11
2	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
377	283
31	283
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	88
6	86
0	233
12	271
3	262
1	191
1	6
0	10
15	8
0	129
0	15
0	22
0	30
0	1167
1	1172
0	1163
0	1
0	0
0	1
0	3
0	0
0	4
0	1
0	3
0	1085
0	86
0	1
0	112
0	1090
0	5
0	1165
0	3
0	999
1	40
0	1
0	195
0	1066
0	1162
8	4
1	3
2	1039
4	3
0	0
0	1165
0	1162
0	192
0	259
0	1
0	0
0	1085
0	1
0	314
0	722
61	2
0	0
0	62
1	979
3	825
0	979
2	8
0	0
0	6
0	3
0	6
0	1
0	1380
6003	4461
77	4293
1	4224
0	3272
4	2778
0	1402
2	1400
0	0
19	5
22	208
0	12
13	4
23	193
0	0
0	0
0	14
7	9
979	1318
0	11
11	1309
18	456
55	95
21	52
1	90
0	0
10	0
1	465
44	465
1	442
0	440
3	440
0	356
0	356
0	214
1	0
0	0
4	11
15	15
0	3
448	56
1	51
2	16
1	506
19	304
0	10
0	12
0	56
1	6
1	10
12	218
4	97
0	3
2	280
2	6
0	84
1	92
4	115
10	32
0	0
0	0
4	240
0	282
0	319
153	390
0	261
1	289
2	287
0	238
0	124
0	82
8	166
0	84
0	64
0	143
9	138
1	2
7	56
0	82
0	63
20	76
0	13
12	509
3	631
0	637
0	637
0	637
0	526
0	639
0	637
0	637
0	637
0	637
0	637
0	637
0	637
0	633
4	328
0	489
32	180
0	5
0	56
0	19
1	14
0	0
0	0
0	0
0	0
0	2
0	0
0	0
610	64
2	46
3	19
0	2
0	17
0	0
0	0
17	166
1	151
0	84
2	20
8	267
10	91
5	76
0	85
24	130
21	35
0	74
0	29
0	1668
33	1614
0	214
0	162
0	86
2031	304
0	304
142	326
13	0
14	232
31	96
0	125
1	107
18	111
1	4
1	487
0	2395
0	2237
0	1765
8	1974
1	2119
0	1998
1	2058
1	2070
10	1273
0	1794
0	1849
4	2232
1	1424
4	1235
0	302
0	238
70	294
0	74
0	303
0	44
0	231
1	228
0	229
0	130
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
6	55
27	64
14	84
0	60
32	83
1	25
0	26
0	31
6	49
5	34
0	32
0	52
0	50
5	56
3	23
0	26
0	39
0	21
1	4
1	1
0	26
0	23
0	24
0	27
0	29
0	8
0	11
0	14
0	23
0	26
0	21
0	26
0	26
0	19
0	16
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1875	163
26	162
0	6
3	0
1	51
0	4
0	50
0	51
0	49
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1055
60	67
64	1746
1	892
137	1730
6	381
1	1691
0	1291
0	323
2	584
0	0
12	0
3	0
2	0
0	376
15418	8734
431	7390
1	4600
117	2411
5	0
0	0
0	0
0	0
0	5
2	5
0	1
0	0
0	0
0	0
0	6
0	6
0	4
0	2
0	0
1	3812
28	3820
0	3472
1	3358
0	45
0	790
0	1530
0	30
1	893
1	42
0	158
2	4
0	3
0	57
2	384
2	56
9	374
0	3
3	15
5	2
0	68
22	17
0	1
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
10	95186
244	73114
1	79283
0	82482
165	65568
2	21598
1	18515
3	12252
20	10455
5	6105
1	2996
1	1106
4	1119
31	8234
218	8674
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	3
0	0
1	3
0	3
0	3
0	3
0	3
0	2
0	2
0	1
0	0
4476	71
21	17
4	58
545	4
3	4
0	4
0	4
0	0
0	0
4	0
2	22
36	116
1	116
14	115
2	9
0	91
854	1096
4	1042
0	650
338	313
1	119
0	313
0	169
0	0
1	1
0	1
0	0
0	0
0	0
0	0
185	48
1	0
23	342
45	85
1	313
0	0
5	24
0	1
0	1
0	40
0	40
0	1
0	38
0	40
0	1
0	40
0	0
0	40
0	38
0	40
0	20
0	26
1	1
0	0
0	1
0	5
0	0
0	0
0	1
0	29
0	0
0	0
52	0
4	2695
0	2522
4	1231
173	2483
23	2722
0	36
0	0
0	0
0	0
238	245
84	244
8	156
1	77
0	0
0	0
2	34
383	214
0	201
21	166
0	7
0	0
1	18
0	31
34	32
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
105	2838
0	3518
1	3524
1	135
0	4
0	253
7	148
0	48
4	405
0	7
0	0
0	0
0	0
0	336
0	324
0	919
1	14
0	439
0	423
0	434
0	434
0	913
0	224
0	0
0	9
0	682
1	681
0	680
0	0
0	0
0	1
0	15
0	15
0	166
