UniqueCount	AmbigCount
4	25
0	0
2	921
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	26
0	6
0	0
0	5
0	0
0	12
0	0
55	1294
31	2
0	50
637	41
2	46
39	285
5	24
1	0
16	56
0	0
0	0
0	0
30	917
2	58
2	87
1	68
0	85
0	54
90	46
0	0
0	17
0	3
0	1
0	2
0	0
0	3
1	0
0	1
4	8
17	6
0	1
20	1
0	851
0	397
2	498
28	400
0	400
21	213
32	25
15	270
0	307
60	64
1	202
82	74
13	5
14	25
0	56
12	20
0	0
0	10
0	1
0	0
413	1397
1	6
0	2
0	6
0	1
0	1
1	0
0	2
0	1
1	30
0	1
0	0
0	1
0	7
0	1
0	2
0	3
0	0
6	30
392	26982
487	27591
0	0
34	23
3	0
12461	9086
28	21
0	0
0	0
2384	3024
1	21
0	0
0	0
0	64
0	13
0	6
0	7
0	10
0	4
0	5
3	3
0	4
0	4
0	15
0	4
0	7
0	7
0	10
0	3
0	1
8	3
0	3
1	3
0	3
0	0
1	0
0	4
0	7
0	9
0	3
0	3
0	0
0	7
6	29
1	11
4	11
0	0
2	1
0	1
0	0
41	0
0	0
1	208
0	225
22	326
6	73
0	361
18	26
0	309
0	327
13	15
0	240
0	297
0	251
0	301
1	3
0	204
0	211
0	13
0	198
0	242
0	261
0	226
1	11
3	164
0	203
0	191
0	248
0	207
0	239
0	288
0	187
0	212
0	212
1	236
0	14
0	252
0	279
0	212
1	14
0	14
0	40
0	12
0	203
3	10
1	10
1	10
3	3
0	0
0	2
0	0
0	0
3	0
42	0
0	0
1	0
0	0
0	0
0	10
0	9
0	0
0	9
0	3
0	3
0	3
0	3
0	3
0	9
1	5
0	0
0	0
0	0
0	0
606	3856
11	1396
75	3599
0	0
35	691
29	15
622	119
113	22
88	97
51	0
23	102
5	87
5	103
0	2
2	25
0	4
0	4
0	3
0	1
13	0
33	284
87	256
112	242
3	188
1	429
0	356
13	291
0	0
0	0
38	15124
0	14094
0	13522
0	14552
0	158
1	318
17	161
0	4
7	104
344	5057
0	21
2	40
1	41
0	20
4	40
2	38
2	39
4	38
1	39
0	22
1	19
1	0
0	2
906	0
2	572
2	487
6	603
0	579
162	450
0	521
15	578
0	83
1	384
1	186
0	141
2	148
1	44
4	14
2	11
0	20
0	7
7	14
0	1
0	0
0	0
0	0
0	0
0	0
75	0
10	0
0	153
0	153
0	0
0	0
16	60
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
48	4834
1	4359
2	3701
88	2253
7	1743
4	661
0	894
684	0
2	5
3	1
7	6
5	8
8	7
7	0
2	1273
44	1484
0	1295
26	702
3	763
0	647
1	597
11	86
0	567
12	469
0	48
0	86
0	131
1	120
1	170
2	0
6	12
0	26
9	145
26	1
0	0
2	0
0	77
1	54
8	75
0	75
0	2
1	73
0	0
2	15
24	568
13	644
10	492
0	301
6	3
1	33
3	71
1	2
57	66
0	26
10	12
0	14
0	0
0	0
42	151
6	42
1	8
0	99
0	7
7	51
0	58
10	941
0	1678
0	1671
0	1245
1	372
0	1361
0	1897
0	1249
201	1013
96	628
12	1108
0	1675
1	1248
0	1119
2	1393
0	1395
0	355
8	172
7	48
4	1147
0	156
0	310
0	268
12	161
0	178
0	446
1	10
8	50
3	596
6	189
0	162
0	420
2	359
0	358
1	19
13	7
1	196
0	551
12	327
40	168
0	199
3	189
0	85
5	78
1	68
1	43
0	0
0	6
5	7
0	0
9	0
1	105
330	132
0	27
7	0
31	2588
396	2537
1	394
0	513
23	110
4	40
13	125
0	0
0	1359
60	2064
4	2357
15	1638
59	2269
6	461
7	353
77	488
1	0
0	1
55	1007
25	962
390	962
186	999
24	54
2	35
0	0
0	1818
71	2202
2	1853
23	1367
14	3045
1	2234
8	2696
0	2835
2	844
7	1196
0	159
9	228
0	227
10	230
0	492
24	29
7	103
1	4
2	26
1	174
3	179
0	201
0	208
0	189
0	207
0	160
0	159
0	167
1	8
0	160
0	178
0	179
0	61
249	586
0	207
30	295
37	2
29	383
1	34
0	4
92	6
0	274
5	316
40	355
0	104
27	82
2	0
3	0
0	0
8	7
2	0
1	7
2	211
9	1222
476	1433
7	29
11	50
0	0
1	0
36	1399
0	1106
40	1309
3	72
69	844
82	528
2	2
0	2
0	0
2	1389
18	978
0	1324
0	1149
2	1301
0	1
0	126
2	261
7	0
9	0
908	1644
11	1304
1	340
258	67
0	3
9	3
0	0
1191	0
10	0
180	0
157	1489
36	1525
0	1603
0	1619
0	1322
2	1447
1	1586
28	30
1	58
35	1476
3	52
0	1120
1	37
2	6
0	104
0	1592
7	816
0	72
0	1287
5	1075
4	13
18	18
0	1193
3	190
28	24
0	50
51	181
4	452
5	391
13	245
0	99
5	105
0	1
0	31
27	14
9	22
0	20
0	12
0	13
0	13
4	5
1	5
44	1552
0	1504
2	1318
0	1271
0	1263
0	1252
0	1252
0	1252
0	50
1	0
7	248
21	2630
2	2676
54	900
26	335
0	0
0	0
0	29
23	979
0	918
6	392
3	657
0	758
0	511
0	748
0	801
0	773
0	561
28	19
9	139
4	43
0	7
14	117
0	6
1	49
19	108
4	127
1	37
0	3
1	0
3	0
114	672
1	0
3	0
0	0
0	0
17	206
9	22
1	226
0	157
38	2398
3	2230
0	1993
2	1027
2	5
2	400
1	132
0	51
8	315
2	49
0	30
2	246
7	247
5	314
8	312
2	181
0	0
1	8672
69	10406
217	10736
2	9486
0	9262
0	10472
0	9109
0	7629
0	10471
1	9257
1	4720
0	9303
0	10437
0	10356
0	10356
0	10199
0	10028
1	8859
5	9371
0	8350
1	9177
10	8995
0	6186
0	5321
23	1412
1	3415
1	1839
2	688
0	0
2	115
0	0
0	4
0	3
0	1
0	4
0	3
1	6
0	6
19	4
1	3
7	179
5	150
0	5
12	35
23	31
7	1
0	36
2	5
0	36
0	5
0	1
17	23
0	13
0	1
9	13
4	1
5	2
1	2
0	6
0	10
0	6
0	9
0	10
5	7
0	2
0	7
0	6
0	7
0	0
0	9
0	4
0	1
0	6
0	2
0	4
0	1
0	5
0	0
0	0
250	2367
1	161
2	45
1	36
0	34
1	9
0	2223
0	63
0	1895
1	169
0	324
0	193
0	318
21	209
3	309
0	350
2	261
70	109
18	72
2	142
0	8
0	1975
3	266
1	1192
9	1277
2	36
0	0
4	0
0	0
6	108
2	105
4	365
1	625
1	404
105	196
4	265
0	751
0	399
2	399
11	388
4	110
1	424
0	1
1	0
1	0
0	24
1511	37
0	0
0	1
3	12
0	8
1	8
27	182
3	148
10	172
0	6
29	15
3	15
18	39
0	57
17	0
3	0
0	1
2	0
53	1
0	1
4	0
53	1239
0	220
77	2183
1	942
7	23
12	1155
6	762
130	1272
10	164
6	715
0	766
0	551
0	543
0	105
2	34
0	4
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	571
0	461
0	274
0	49
2	10
2	1
3	2
0	51
0	136
1	7
2	0
0	5
1	0
2	26
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	3
0	3
0	5
0	3
0	1
0	1
2	3
0	6
0	5
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	20
0	18
1	232
0	231
0	240
0	229
0	75
0	234
0	39
0	18
0	9
1	9
1	219
0	6
1	214
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
0	2
0	1
0	0
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
295	910
4	910
9	887
0	101
4	29
0	108
64	620
1	0
1	39
0	39
0	21
1	2
0	11
0	0
0	1
1	0
0	0
0	9
12	9
0	9
0	8
0	9
0	9
0	7
127	495
0	495
82	529
184	540
112	18
8	226
0	80
2	22
0	4
0	182
0	157
1	41
0	452
0	379
0	176
0	393
0	385
0	123
0	130
0	171
0	168
0	444
3	104
0	3
0	184
1	90
0	0
0	0
1	82
0	21
0	273
0	226
0	325
36	799
1	163
0	11
0	364
0	7
0	409
13	459
2	613
0	566
0	220
0	326
0	284
1	266
0	379
1	485
0	284
0	40
0	66
0	22
0	325
1	266
6	53
0	231
1	5
0	0
0	0
0	0
0	0
12	10
0	5
1	9
0	0
1742	267
5	267
1	24
0	0
0	0
1	799
0	926
0	959
3	938
0	810
0	911
0	910
0	869
0	842
0	897
0	786
0	869
0	926
1	794
0	821
0	788
0	26
1	577
0	262
4	538
0	45
0	45
1	295
0	140
0	91
4	67
0	17
0	363
2	345
3	340
2	357
0	357
0	374
0	350
0	346
6	9
2	24
3	575
52	586
5	662
0	573
0	582
1	551
0	541
1	551
2	563
3	270
0	17
0	2
0	2
1	6
10	13
3	8
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
425	380
34	380
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	136
6	147
0	346
11	396
0	399
1	271
4	3
2	8
12	5
0	173
0	11
0	23
0	30
0	1173
0	1178
0	1169
0	0
0	0
0	4
0	2
0	0
0	9
0	0
0	4
0	1104
0	69
0	4
0	106
0	1102
0	9
0	1171
0	7
0	1002
0	35
0	5
0	203
0	1076
0	1169
2	9
0	7
2	1085
2	3
0	0
0	1171
0	1169
0	199
0	253
0	4
0	0
0	1095
0	6
0	311
0	723
48	5
2	0
0	76
1	979
5	874
0	996
7	4
0	0
0	3
0	1
0	3
0	0
4	2880
9420	8254
107	7914
4	7786
0	6187
8	5302
1	2903
2	2894
0	0
15	8
43	282
0	16
21	2
38	261
0	0
0	0
0	21
11	10
1383	1940
0	20
30	1930
14	693
62	161
27	80
9	157
0	0
38	0
0	721
81	721
0	672
0	672
2	672
0	578
0	578
0	322
0	0
1	0
2	7
13	14
0	0
532	68
1	53
4	27
7	731
33	446
0	12
0	16
1	87
0	15
4	11
20	321
4	164
0	6
1	410
0	25
0	139
3	141
5	166
5	49
0	0
0	0
5	344
0	394
0	458
178	577
3	361
4	405
0	402
0	334
0	180
0	118
10	238
0	132
0	102
0	222
19	218
2	3
1	90
0	128
0	104
31	119
0	29
26	673
4	804
0	808
0	808
0	808
0	666
0	808
0	808
0	808
0	808
0	808
0	808
0	808
0	808
0	798
5	432
0	624
19	218
2	12
1	83
1	34
2	26
0	0
0	2
0	2
0	0
0	0
0	0
0	0
879	113
1	90
5	31
0	2
0	21
0	0
0	0
41	195
1	188
0	96
1	33
14	406
15	134
9	108
0	111
27	228
18	70
0	118
0	50
1	1964
63	1902
0	258
0	189
1	98
2257	290
0	290
190	329
23	0
17	246
41	87
0	146
1	114
19	107
3	8
4	652
0	2987
0	2810
2	2253
3	2503
3	2658
0	2532
0	2588
3	2593
9	1640
0	2299
0	2364
4	2756
0	1843
2	1545
0	362
0	298
100	359
0	104
0	356
0	47
0	267
0	242
2	243
0	144
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	71
45	109
22	115
0	102
51	152
3	52
0	29
1	52
8	91
3	53
0	48
0	82
0	74
4	91
1	40
0	46
0	61
1	39
0	5
0	3
0	40
0	39
0	38
0	45
0	44
0	15
0	27
0	30
0	43
0	43
0	34
0	44
0	44
0	20
0	20
0	19
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
1	0
2355	226
65	224
2	10
4	0
0	83
0	11
0	83
4	83
1	81
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1826
96	154
87	2824
4	1375
206	2778
4	717
0	2710
0	2168
0	595
7	871
0	0
12	0
3	0
0	0
0	361
15877	7817
440	6649
16	4043
133	2080
9	0
0	1
0	0
0	0
0	1
4	1
0	0
0	0
0	0
0	0
0	5
0	5
0	3
0	0
0	0
2	3840
25	3847
0	3558
2	3419
0	55
0	835
3	1487
0	42
0	851
1	47
1	148
1	3
2	2
0	60
2	343
4	67
5	336
0	3
1	20
2	0
1	65
15	8
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
9	102849
275	78824
4	85820
0	89096
144	70714
5	23671
2	20563
1	14127
14	12017
5	6952
2	3365
0	1349
3	1380
24	9283
226	9771
2	2
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	1
0	1
0	1
0	1
0	2
0	1
0	2
0	0
