UniqueCount	AmbigCount
4	26
0	0
8	844
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	16
0	9
1	0
1	8
0	0
1	13
1	1
60	1422
32	2
0	45
601	44
4	49
44	289
11	27
0	0
17	49
0	0
0	0
0	0
18	797
1	58
0	88
0	65
0	84
0	54
81	31
0	0
0	11
1	2
0	0
0	5
0	0
0	1
0	1
0	1
4	11
9	8
0	1
10	0
0	995
1	510
2	613
50	434
0	416
12	226
13	34
30	285
0	323
63	53
0	197
87	61
13	8
15	27
0	67
10	15
0	0
0	18
0	1
0	1
455	1541
0	3
0	0
0	11
0	1
0	1
1	0
0	0
0	1
5	41
0	1
0	0
0	0
0	5
0	2
0	3
0	0
0	0
12	41
439	28601
474	25289
0	0
25	17
5	1
12498	8920
28	15
0	0
0	0
2837	3239
0	25
0	0
1	0
0	53
0	4
0	5
0	5
0	3
0	3
0	3
0	2
0	3
0	3
0	20
0	3
0	3
0	5
0	3
0	2
0	2
13	2
0	1
1	1
0	4
0	0
1	0
0	1
0	2
0	3
0	1
0	2
0	0
0	3
9	26
0	6
5	6
0	0
6	0
0	0
0	0
45	1
0	0
0	180
0	201
29	290
4	62
1	309
11	30
0	277
0	286
13	17
1	204
0	267
0	225
0	270
0	7
1	168
1	187
0	14
0	166
0	223
0	229
1	200
0	4
1	131
1	168
0	176
1	225
0	187
0	205
0	250
0	159
0	177
0	176
0	215
0	5
0	216
0	241
0	174
0	5
0	16
0	26
0	4
0	168
6	16
2	2
1	2
4	0
0	0
0	0
0	0
0	0
2	0
26	1
1	1
1	2
0	1
0	1
0	24
0	23
0	0
0	23
0	9
0	12
0	13
0	7
0	8
0	22
2	6
2	0
0	3
1	0
0	0
579	3584
15	1408
68	3389
0	0
48	612
13	8
485	110
83	21
77	89
63	2
22	92
1	83
2	98
1	3
2	24
0	2
0	2
0	0
0	2
23	0
29	289
60	263
115	234
2	186
2	282
0	235
11	184
0	0
1	0
46	16543
0	15447
0	14768
0	15864
0	193
1	279
13	171
0	1
13	125
380	5531
0	33
1	47
2	56
0	27
2	48
6	49
2	54
4	48
3	49
2	18
0	30
1	0
0	0
816	0
4	521
3	454
13	556
0	532
149	413
0	476
15	527
0	65
1	348
0	177
0	134
0	144
1	45
8	12
5	7
0	20
0	9
3	13
1	2
0	0
0	0
0	0
0	0
0	0
83	0
18	0
0	114
0	114
0	0
0	0
21	57
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
53	4952
3	4437
6	3813
113	2512
8	1978
1	657
0	829
884	0
4	4
3	2
10	7
4	6
3	5
8	0
1	1187
29	1378
0	1219
24	666
2	704
2	628
2	571
5	71
0	528
9	444
1	44
0	82
1	126
0	105
3	140
2	0
4	12
0	27
11	118
20	1
0	0
5	0
0	108
0	81
7	110
1	110
0	2
0	105
0	0
4	26
15	669
11	747
8	551
0	355
7	2
0	38
1	70
6	2
71	76
0	27
26	15
0	9
0	0
0	0
35	208
9	53
3	5
2	121
0	8
8	78
0	92
15	871
0	1500
0	1489
0	1095
1	361
0	1197
0	1639
0	1096
153	886
76	621
7	993
0	1495
0	1098
0	998
2	1168
0	1223
1	288
3	139
6	56
1	972
0	135
1	255
1	239
10	158
0	166
0	406
