UniqueCount	AmbigCount
4	20
0	2
3	688
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	27
0	8
0	0
0	2
0	0
0	15
0	0
55	1047
23	0
0	36
450	36
2	40
34	274
4	19
0	0
21	40
0	0
0	0
0	1
23	695
1	45
2	73
0	48
0	72
0	43
54	37
0	0
0	13
0	1
0	0
1	0
0	1
0	1
0	0
0	0
3	9
6	0
0	2
9	0
2	737
0	336
3	399
35	325
0	330
18	155
9	30
5	205
0	224
43	46
0	148
68	44
15	12
3	13
0	49
10	21
0	0
0	9
0	0
0	0
383	1132
1	3
0	0
0	8
0	2
0	2
0	1
0	6
0	2
4	32
0	0
0	1
0	0
0	5
0	0
0	2
0	1
0	0
5	29
352	23977
338	18505
0	0
28	8
3	0
10423	7375
18	14
0	0
0	0
2228	2502
3	16
0	0
0	0
0	39
0	4
0	3
0	3
0	3
0	1
0	2
0	2
0	1
0	1
0	12
0	1
0	3
0	3
0	3
0	2
0	2
2	2
0	0
0	0
0	4
0	0
0	0
0	1
0	2
0	2
0	2
0	2
0	0
0	3
5	16
1	3
1	3
0	0
4	1
0	1
0	0
39	2
0	0
0	189
0	203
11	280
3	59
0	296
9	36
0	276
0	281
13	22
0	230
0	263
0	234
0	264
0	7
0	186
1	206
0	19
0	184
0	225
0	232
0	204
0	9
2	163
0	184
0	188
0	235
0	198
0	213
0	255
0	177
0	194
0	194
1	213
0	11
0	218
0	237
0	187
0	11
0	13
0	30
0	10
0	184
8	7
2	2
0	2
0	1
0	0
0	0
0	0
0	0
1	0
19	0
2	0
0	0
0	0
0	0
0	12
0	12
0	0
0	9
0	3
0	3
0	3
0	3
0	2
0	9
0	2
0	0
0	0
0	0
0	0
550	3359
8	1296
59	3233
0	0
47	574
22	13
339	81
60	15
56	66
34	0
24	85
4	73
5	84
0	0
3	29
0	6
0	5
0	1
0	5
10	0
18	187
44	176
80	153
0	127
2	262
1	217
17	153
1	0
0	0
34	12681
0	11835
0	11219
0	12065
0	126
0	258
13	133
0	4
4	59
203	3937
0	18
2	37
0	46
0	21
0	39
3	42
0	44
6	39
1	39
4	24
1	21
0	0
0	0
979	0
2	426
4	376
7	478
0	469
144	340
0	408
7	435
1	48
2	268
0	146
2	123
0	134
1	43
7	13
4	3
0	19
0	4
3	14
0	0
0	0
1	0
0	0
0	0
0	0
56	0
10	0
0	105
0	105
0	0
0	0
14	43
0	0
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
50	4515
0	4049
5	3385
74	2148
3	1682
3	584
0	754
630	0
3	3
1	1
12	3
7	1
8	1
2	0
3	1098
23	1270
0	1124
21	606
2	669
1	582
3	538
13	74
0	520
1	407
0	56
0	68
0	81
0	89
1	138
0	0
