UniqueCount	AmbigCount
2	25
0	0
1	864
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	23
0	10
0	0
0	7
0	1
0	12
0	0
47	1164
21	3
0	41
515	57
7	62
45	297
6	19
0	0
11	49
0	0
0	0
0	0
25	799
0	55
0	74
1	56
0	70
0	50
51	29
1	0
0	27
1	1
0	0
0	4
0	1
0	2
0	0
0	2
6	15
7	8
0	6
7	1
0	923
1	421
1	489
45	429
0	433
20	218
18	26
26	259
1	322
69	49
0	163
77	69
18	8
8	20
1	52
15	17
0	0
0	7
0	2
0	0
519	1288
1	4
0	0
0	12
0	2
0	2
1	0
0	3
0	2
5	41
0	3
0	0
0	1
0	7
0	2
0	6
0	1
0	0
4	34
384	30315
433	21807
0	0
22	12
4	0
12389	9691
16	27
0	0
0	0
2324	2974
1	32
0	0
0	0
0	42
0	8
0	2
0	2
0	2
0	1
0	2
1	1
0	1
0	1
0	12
0	1
0	2
0	2
0	2
0	5
0	4
1	1
0	2
0	2
0	2
0	0
3	0
0	0
0	2
0	2
0	1
0	1
0	0
0	1
7	17
1	8
3	8
0	0
4	1
0	1
0	0
40	2
0	1
2	221
0	241
18	336
12	69
1	357
12	41
0	319
0	341
18	29
2	262
0	320
0	281
0	317
1	10
0	222
0	248
0	27
0	219
0	263
0	273
0	241
0	6
3	180
0	214
0	228
0	276
0	230
0	254
0	294
0	200
0	228
0	227
0	247
1	6
0	257
0	279
0	225
0	6
0	8
0	37
0	7
0	214
6	8
2	4
1	4
0	4
0	0
0	4
0	0
0	0
2	0
15	0
0	0
0	0
0	0
0	0
0	16
0	15
0	0
0	14
0	8
0	8
0	8
0	7
0	7
0	14
0	7
0	0
0	1
0	0
0	0
634	3998
14	1459
53	3752
0	0
53	745
26	29
492	112
68	19
65	93
46	1
35	86
3	71
5	91
0	1
2	19
0	3
0	3
0	1
0	2
18	0
24	290
69	258
81	244
6	183
2	391
0	327
10	254
0	0
0	0
43	13850
0	12881
0	12368
0	13337
0	141
2	252
15	149
1	1
13	78
233	4589
0	28
0	45
1	53
2	32
2	49
2	47
1	52
1	47
1	48
2	26
0	30
1	0
0	0
1187	0
0	539
3	446
11	572
0	553
164	415
0	483
19	548
0	73
1	357
0	198
0	149
0	156
2	52
5	12
3	9
0	31
0	10
6	18
0	1
0	0
0	0
0	0
0	0
0	0
77	0
22	0
0	115
0	115
0	0
0	0
13	51
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
59	4403
1	3969
6	3380
96	2140
4	1660
2	622
0	751
619	0
3	7
1	1
6	9
6	4
6	2
2	0
0	1113
38	1283
0	1139
30	623
4	689
2	592
0	542
14	72
0	532
4	421
0	45
0	76
0	93
0	94
0	145
2	0
2	10
0	28
7	120
26	2
0	0
2	0
0	72
0	52
5	74
1	74
1	1
0	71
0	0
3	15
18	473
15	554
10	416
0	247
1	2
0	28
0	55
2	3
49	53
0	18
11	9
1	12
0	0
0	0
49	182
10	41
1	10
0	107
0	8
3	69
1	70
14	935
0	1683
0	1678
0	1233
0	377
1	1332
0	1859
0	1233
152	980
72	611
8	1096
0	1681
3	1234
0	1115
1	1365
0	1413
1	337
0	142
13	66
2	1088
0	142
0	285
0	275
4	166
0	193
0	480
2	3
7	37
6	582
3	134
0	146
1	416
0	362
1	362
0	12
11	2
0	200
0	538
7	312
42	163
0	185
0	208
1	71
7	56
3	52
0	65
1	1
0	5
0	7
0	0
9	0
5	100
289	126
0	25
7	0
29	2562
332	2527
0	355
0	452
14	113
1	36
13	112
0	0
0	1089
66	1596
4	1810
19	1270
49	1746
4	333
6	264
56	355
2	0
2	1
69	966
24	918
395	922
202	959
24	42
3	25
0	0
0	1378
72	1601
2	1396
17	1023
8	2378
4	1728
8	2013
0	2210
0	653
6	862
1	167
5	182
1	209
5	152
0	342
31	16
5	57
1	3
1	11
3	125
3	125
0	142
0	140
0	129
0	139
1	117
0	115
0	127
0	7
0	120
0	126
0	128
0	38
212	469
0	182
27	247
36	4
14	289
1	24
0	2
73	4
0	291
11	335
42	377
0	116
26	81
9	0
1	0
0	2
5	4
0	2
2	6
0	187
11	1137
391	1325
9	11
5	36
0	0
0	1
23	1200
0	932
33	1128
4	67
52	726
48	447
0	0
1	0
0	0
1	1342
7	950
0	1291
0	1130
1	1267
1	0
1	88
1	252
8	0
6	0
860	1462
11	1143
0	319
275	50
0	1
4	1
0	0
1173	0
