NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	1000	1.1307226419448853	-0.02898658	No	
row_1	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1050	1.1085467338562012	-7.956744E-4	No	
row_2	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	1336	0.9894030094146729	0.009701371	No	
row_3	TMEM38B	transmembrane protein 38B [Source:HGNC Symbol;Acc:HGNC:25535]	1361	0.97873455286026	0.03576182	No	
row_4	JPH3	junctophilin 3 [Source:HGNC Symbol;Acc:HGNC:14203]	1455	0.9406980276107788	0.05655903	No	
row_5	AKAP6	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	1483	0.932355523109436	0.0811331	No	
row_6	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	2477	0.683832585811615	0.04000673	No	
row_7	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	2782	0.6309289932250977	0.039269734	No	
row_8	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	3089	0.5789871215820312	0.036950722	No	
row_9	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	3130	0.5717921257019043	0.050596677	No	
row_10	JSRP1	junctional sarcoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:24963]	4219	0.41721561551094055	-0.0038001991	No	
row_11	RTN2	reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]	4702	0.35308966040611267	-0.02316792	No	
row_12	MTMR12	myotubularin related protein 12 [Source:HGNC Symbol;Acc:HGNC:18191]	4889	0.32830357551574707	-0.025241915	No	
row_13	STIM1	stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]	4989	0.3180869221687317	-0.022315381	No	
