NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	718	1.339969515800476	-0.0059660953	No	
row_1	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1154	1.0978347063064575	-0.0026629728	No	
row_2	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	2082	0.8137000203132629	-0.03252816	No	
row_3	ROR1	receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256]	2721	0.6888596415519714	-0.049966503	No	
row_4	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	2794	0.6765313148498535	-0.03745182	No	
row_5	DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	3482	0.5700231194496155	-0.06038332	No	
row_6	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	3640	0.5469179749488831	-0.05554655	No	
row_7	TLNRD1	talin rod domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13519]	3706	0.5393275022506714	-0.04597621	No	
row_8	XIRP1	xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301]	3848	0.5212295055389404	-0.040905595	No	
row_9	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	4088	0.488537460565567	-0.041863527	No	
row_10	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	4798	0.4083782434463501	-0.069880486	No	
row_11	SYNPO2	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	5662	0.30972132086753845	-0.10851449	No	
row_12	MICALL2	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]	6179	0.26323220133781433	-0.12972668	No	
row_13	CDC42BPB	CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]	6231	0.25851964950561523	-0.12619981	No	
row_14	GAS2L1	growth arrest specific 2 like 1 [Source:HGNC Symbol;Acc:HGNC:16955]	6485	0.2351859211921692	-0.13403368	No	
row_15	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	6750	0.21494553983211517	-0.14294502	No	
row_16	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	7011	0.19340577721595764	-0.15216354	No	
row_17	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]	7545	0.1485588401556015	-0.17705786	No	
row_18	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	8260	0.09280620515346527	-0.21297462	No	
row_19	PRICKLE4	prickle planar cell polarity protein 4 [Source:HGNC Symbol;Acc:HGNC:16805]	8270	0.09220395982265472	-0.21122555	No	
row_20	CORO1B	coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]	8815	0.049845140427351	-0.23909535	No	
row_21	MYL12B	myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]	8851	0.0473211370408535	-0.23982146	No	
row_22	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	8980	0.03738194331526756	-0.2457586	No	
row_23	FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	11584	-0.15641972422599792	-0.38109884	No	
row_24	SIPA1L3	signal induced proliferation associated 1 like 3 [Source:HGNC Symbol;Acc:HGNC:23801]	11794	-0.1733057051897049	-0.38807768	No	
row_25	PDCD6IP	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]	12001	-0.18988387286663055	-0.39449522	No	
row_26	ILK	integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	12269	-0.21217772364616394	-0.40363383	No	
row_27	XIRP2	xin actin binding repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14303]	12349	-0.21712610125541687	-0.40260467	No	
row_28	CNN2	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	12802	-0.2539753019809723	-0.4206201	No	
row_29	FBLIM1	filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]	12985	-0.2714047133922577	-0.4237832	No	
row_30	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	13260	-0.2930178940296173	-0.43134072	No	
row_31	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	13493	-0.31592151522636414	-0.43609947	No	
row_32	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	13778	-0.34334075450897217	-0.44297433	No	
row_33	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	13813	-0.347919762134552	-0.4363766	No	
row_34	PGM5	phosphoglucomutase 5 [Source:HGNC Symbol;Acc:HGNC:8908]	13840	-0.35077595710754395	-0.42928222	No	
row_35	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	14090	-0.3762418329715729	-0.43349066	No	
row_36	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]	14236	-0.39259302616119385	-0.43174508	No	
row_37	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	14315	-0.3984306752681732	-0.42627737	No	
