NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]	898	1.2208168506622314	-0.012002587	No	
row_1	HDAC11	histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]	1176	1.0928845405578613	0.0054379287	No	
row_2	SAP30L	SAP30 like [Source:HGNC Symbol;Acc:HGNC:25663]	1591	0.9445481896400452	0.0111715235	No	
row_3	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	2287	0.7710354328155518	-0.0032479293	No	
row_4	HDAC10	histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128]	3761	0.5323078036308289	-0.06633141	No	
row_5	MBD3	methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:HGNC:6918]	5237	0.35754522681236267	-0.13468026	No	
row_6	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	6304	0.25226786732673645	-0.18425784	No	
row_7	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	6747	0.21504081785678864	-0.20155454	No	
row_8	RCOR2	REST corepressor 2 [Source:HGNC Symbol;Acc:HGNC:27455]	7275	0.17026948928833008	-0.22471964	No	
row_9	ZNHIT1	zinc finger HIT-type containing 1 [Source:HGNC Symbol;Acc:HGNC:21688]	7287	0.16937974095344543	-0.22030857	No	
row_10	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	8019	0.11210515350103378	-0.2561031	No	
row_11	ACTR6	actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]	8024	0.11168325692415237	-0.25302055	No	
row_12	BRMS1L	BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]	8764	0.053888339549303055	-0.29096135	No	
row_13	ZNF541	zinc finger protein 541 [Source:HGNC Symbol;Acc:HGNC:25294]	8879	0.04526924714446068	-0.29572338	No	
row_14	RBBP7	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	8889	0.04423534497618675	-0.29489917	No	
row_15	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	9165	0.022578690201044083	-0.3089433	No	
row_16	BRD8	bromodomain containing 8 [Source:HGNC Symbol;Acc:HGNC:19874]	9214	0.017806299030780792	-0.31098542	No	
row_17	SAP18	Sin3A associated protein 18 [Source:HGNC Symbol;Acc:HGNC:10530]	9300	0.010932227596640587	-0.31520963	No	
row_18	BRMS1	BRMS1 transcriptional repressor and anoikis regulator [Source:HGNC Symbol;Acc:HGNC:17262]	9659	-0.013144939206540585	-0.3339722	No	
