NAME	TITLE	SCORE	
NMBR	neuromedin B receptor [Source:HGNC Symbol;Acc:HGNC:7843]	3.9679997	
ZNF90	zinc finger protein 90 [Source:HGNC Symbol;Acc:HGNC:13165]	2.8669596	
KLHL6	kelch like family member 6 [Source:HGNC Symbol;Acc:HGNC:18653]	2.5652122	
ABTB3	ankyrin repeat and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23844]	2.5469759	
CPSF1P1	CPSF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19251]	2.491575	
SLC5A4-AS1	SLC5A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53163]	2.491575	
KCNIP4	potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]	2.491575	
LINC01562	long intergenic non-protein coding RNA 1562 [Source:HGNC Symbol;Acc:HGNC:51335]	2.491575	
PI16	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]	2.354781	
RN7SL431P	RNA, 7SL, cytoplasmic 431, pseudogene [Source:HGNC Symbol;Acc:HGNC:46447]	2.3384056	
FOXA3	forkhead box A3 [Source:HGNC Symbol;Acc:HGNC:5023]	2.2539046	
FMR1-AS1	FMR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39081]	2.2539046	
HSPA12B	heat shock protein family A (Hsp70) member 12B [Source:HGNC Symbol;Acc:HGNC:16193]	2.2209852	
SLC34A1	solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019]	2.209764	
MIR3667HG	MIR3667 host gene [Source:HGNC Symbol;Acc:HGNC:28010]	2.119914	
ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	2.0748916	
CYP1B1-AS1	CYP1B1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28543]	2.0503898	
SNORD91B	small nucleolar RNA, C/D box 91B [Source:HGNC Symbol;Acc:HGNC:32753]	2.037557	
C10orf143	chromosome 10 open reading frame 143 [Source:HGNC Symbol;Acc:HGNC:48677]	2.0327835	
ERMARD	ER membrane associated RNA degradation [Source:HGNC Symbol;Acc:HGNC:21056]	2.0125766	
