NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]	28	2.7952537536621094	0.012579184	No	
row_1	SPN	sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]	66	2.445939064025879	0.022910686	No	
row_2	ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	161	2.0587730407714844	0.028208794	No	
row_3	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	183	2.012122631072998	0.037218075	No	
row_4	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	328	1.7262181043624878	0.038136546	No	
row_5	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	620	1.4232953786849976	0.029580956	No	
row_6	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	712	1.344381332397461	0.031439487	No	
row_7	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	713	1.3426793813705444	0.03820889	No	
row_8	HAPLN4	hyaluronan and proteoglycan link protein 4 [Source:HGNC Symbol;Acc:HGNC:31357]	736	1.3315032720565796	0.04373263	No	
row_9	MATN4	matrilin 4 [Source:HGNC Symbol;Acc:HGNC:6910]	903	1.2176947593688965	0.040897947	No	
row_10	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	949	1.191070795059204	0.044470288	No	
row_11	COL14A1	collagen type XIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2191]	951	1.1893409490585327	0.050412543	No	
row_12	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	955	1.1871740818023682	0.05623575	No	
row_13	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	1018	1.155517339706421	0.058709823	No	
row_14	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	1047	1.1421706676483154	0.062954634	No	
row_15	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	1117	1.1134190559387207	0.064838044	No	
row_16	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	1125	1.110334038734436	0.07005761	No	
row_17	C17orf58	chromosome 17 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:27568]	1131	1.1074585914611816	0.07537079	No	
row_18	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	1287	1.050862193107605	0.07228965	No	
row_19	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	1337	1.0313241481781006	0.07484035	No	
row_20	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	1366	1.0196553468704224	0.07846748	No	
row_21	HAPLN2	hyaluronan and proteoglycan link protein 2 [Source:HGNC Symbol;Acc:HGNC:17410]	1389	1.0104092359542847	0.08237236	No	
row_22	CBLN1	cerebellin 1 precursor [Source:HGNC Symbol;Acc:HGNC:1543]	1443	0.9910865426063538	0.084503956	No	
row_23	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	1461	0.984978437423706	0.08855091	No	
row_24	LGALS4	galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565]	1549	0.959396243095398	0.0886847	No	
row_25	FGFBP3	fibroblast growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23428]	1788	0.8900091648101807	0.08030561	No	
row_26	SSC5D	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]	1804	0.8865383267402649	0.083964385	No	
row_27	COL11A2	collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]	1824	0.8825291395187378	0.087386705	No	
row_28	MATN3	matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]	1880	0.8660143613815308	0.088779606	No	
