NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	513	0.7882711291313171	-0.0067552533	No	
row_1	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	583	0.7570168375968933	0.009451782	No	
row_2	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1742	0.4339381754398346	-0.04117056	No	
row_3	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1767	0.4289020001888275	-0.031179655	No	
row_4	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	1817	0.42105817794799805	-0.022734165	No	
row_5	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	2037	0.3917125463485718	-0.024166713	No	
row_6	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	2874	0.30672404170036316	-0.060884956	No	
row_7	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	3049	0.2924918830394745	-0.06251563	No	
row_8	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	3264	0.27457931637763977	-0.06675997	No	
row_9	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	3278	0.2733564078807831	-0.06026936	No	
row_10	IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	3399	0.2635185420513153	-0.059769142	No	
row_11	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	3535	0.2546107769012451	-0.06030664	No	
row_12	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	4634	0.18893812596797943	-0.11415637	No	
row_13	JAK3	Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]	4662	0.18788856267929077	-0.1106628	No	
row_14	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	4771	0.18224915862083435	-0.11165648	No	
row_15	SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	4796	0.18066541850566864	-0.108192116	No	
row_16	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	5368	0.149525985121727	-0.13484794	No	
row_17	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	5421	0.1474401205778122	-0.13375701	No	
row_18	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	5483	0.14426834881305695	-0.13323158	No	
row_19	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	5611	0.1390223354101181	-0.13637954	No	
row_20	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	5819	0.12968593835830688	-0.14405839	No	
row_21	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	6048	0.12017937749624252	-0.15311208	No	
row_22	SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	6476	0.10158006846904755	-0.17331475	No	
row_23	CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]	6526	0.09950587898492813	-0.1733234	No	
row_24	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	6640	0.09481938928365707	-0.17688358	No	
row_25	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	6839	0.08688130229711533	-0.18520571	No	
row_26	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	7367	0.06816756725311279	-0.21164359	No	
row_27	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7423	0.06630150228738785	-0.21284664	No	
row_28	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	7531	0.062265545129776	-0.21694131	No	
row_29	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	8122	0.04023877531290054	-0.24748826	No	
