NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ODAD1	outer dynein arm docking complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:26560]	55	2.5759289264678955	0.016936699	Yes	
row_1	TEKTIP1	tektin bundle interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:34496]	105	2.2457923889160156	0.03164615	Yes	
row_2	RIMS3	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	123	2.1949243545532227	0.047689456	Yes	
row_3	LCA5L	lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255]	211	1.9368685483932495	0.057961047	Yes	
row_4	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	243	1.8617157936096191	0.07067404	Yes	
row_5	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	270	1.8124185800552368	0.08327593	Yes	
row_6	PKD2	polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]	272	1.8116581439971924	0.09722111	Yes	
row_7	CCDC40	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]	358	1.6892741918563843	0.1056874	Yes	
row_8	DYNLT2B	dynein light chain Tctex-type 2B [Source:HGNC Symbol;Acc:HGNC:28482]	432	1.6105834245681763	0.11419323	Yes	
row_9	CFAP126	cilia and flagella associated protein 126 [Source:HGNC Symbol;Acc:HGNC:32325]	517	1.5079164505004883	0.1213121	Yes	
row_10	DNAI4	dynein axonemal intermediate chain 4 [Source:HGNC Symbol;Acc:HGNC:26252]	535	1.4922232627868652	0.13192545	Yes	
row_11	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	563	1.4673677682876587	0.14180708	Yes	
row_12	PCLO	piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]	776	1.3082637786865234	0.14047547	Yes	
row_13	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	799	1.2915056943893433	0.149268	Yes	
row_14	DNAH10	dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]	812	1.282322645187378	0.15852924	Yes	
row_15	TTC30A	tetratricopeptide repeat domain 30A [Source:HGNC Symbol;Acc:HGNC:25853]	904	1.216961145401001	0.16302204	Yes	
row_16	CFAP251	cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506]	930	1.2035282850265503	0.17097285	Yes	
row_17	BBS5	Bardet-Biedl syndrome 5 [Source:HGNC Symbol;Acc:HGNC:970]	943	1.1962387561798096	0.17956889	Yes	
row_18	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	959	1.1857202053070068	0.18792176	Yes	
row_19	TTC30B	tetratricopeptide repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:26425]	981	1.1743754148483276	0.19586316	Yes	
row_20	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	1011	1.158713459968567	0.20325181	Yes	
row_21	AP3B2	adaptor related protein complex 3 subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:567]	1108	1.117879033088684	0.20670915	Yes	
row_22	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	1264	1.0565061569213867	0.20650823	Yes	
row_23	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	1304	1.0424859523773193	0.21245909	Yes	
row_24	CCDC96	coiled-coil domain containing 96 [Source:HGNC Symbol;Acc:HGNC:26900]	1343	1.0294636487960815	0.21836329	Yes	
row_25	FAM166B	family with sequence similarity 166 member B [Source:HGNC Symbol;Acc:HGNC:34242]	1390	1.0101710557937622	0.22368668	Yes	
row_26	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	1459	0.9855027198791504	0.22763218	Yes	
row_27	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1487	0.9768744111061096	0.23372364	Yes	
row_28	BSN	bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:1117]	1587	0.9450823068618774	0.23568384	Yes	
row_29	CFAP206	cilia and flagella associated protein 206 [Source:HGNC Symbol;Acc:HGNC:21405]	1736	0.9017905592918396	0.23466517	Yes	
row_30	ARL13B	ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]	1758	0.8973882794380188	0.24046622	Yes	
row_31	RIMS4	regulating synaptic membrane exocytosis 4 [Source:HGNC Symbol;Acc:HGNC:16183]	1762	0.8970431089401245	0.247236	Yes	
row_32	PIERCE1	piercer of microtubule wall 1 [Source:HGNC Symbol;Acc:HGNC:28435]	1931	0.8530378937721252	0.24476126	Yes	
row_33	DNAH12	dynein axonemal heavy chain 12 [Source:HGNC Symbol;Acc:HGNC:2943]	1937	0.8522667288780212	0.25107712	Yes	
row_34	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	1993	0.8386879563331604	0.2545897	Yes	
row_35	WDR35	WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]	2013	0.8326693177223206	0.2599986	Yes	
row_36	CFAP43	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]	2127	0.805180013179779	0.2601222	Yes	
row_37	BBS7	Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758]	2194	0.7909694910049438	0.26267242	Yes	
row_38	CFAP144	cilia and flagella associated protein 144 [Source:HGNC Symbol;Acc:HGNC:34347]	2330	0.7640359997749329	0.26129085	Yes	
row_39	ODAD3	outer dynein arm docking complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28303]	2436	0.7415972352027893	0.26135486	Yes	
row_40	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:24595]	2458	0.7382023930549622	0.26592585	Yes	
row_41	CLTB	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	2459	0.7380744814872742	0.27162915	Yes	
row_42	RANGAP1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	2497	0.7292463183403015	0.27526745	Yes	
row_43	BLOC1S2	biogenesis of lysosomal organelles complex 1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:20984]	2519	0.7251601815223694	0.27973765	Yes	
