NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TREX1	three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269]	438	1.548452377319336	0.043076597	Yes	
row_1	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	925	1.1642756462097168	0.06593828	Yes	
row_2	PIF1	PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220]	1295	1.0025231838226318	0.088632815	Yes	
row_3	RADX	RPA1 related single stranded DNA binding protein, X-linked [Source:HGNC Symbol;Acc:HGNC:25486]	1611	0.8946506381034851	0.10975471	Yes	
row_4	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	1685	0.873565673828125	0.14464396	Yes	
row_5	ETAA1	ETAA1 activator of ATR kinase [Source:HGNC Symbol;Acc:HGNC:24648]	1718	0.8646324872970581	0.18162435	Yes	
row_6	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	2927	0.6094012260437012	0.1355986	Yes	
row_7	PRIMPOL	primase and DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:26575]	2951	0.6050223112106323	0.16143847	Yes	
row_8	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	3302	0.547792375087738	0.16481611	Yes	
row_9	PARP1	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	3369	0.5359792709350586	0.18493266	Yes	
row_10	RAD51D	RAD51 paralog D [Source:HGNC Symbol;Acc:HGNC:9823]	4531	0.3745831251144409	0.13119341	No	
row_11	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	5137	0.30254727602005005	0.10802278	No	
row_12	TEX264	testis expressed 264, ER-phagy receptor [Source:HGNC Symbol;Acc:HGNC:30247]	5248	0.2896815538406372	0.114375085	No	
row_13	DONSON	DNA replication fork stabilization factor DONSON [Source:HGNC Symbol;Acc:HGNC:2993]	5502	0.26493197679519653	0.110916965	No	
row_14	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	5968	0.22028861939907074	0.09255672	No	
row_15	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	6068	0.21005941927433014	0.09599332	No	
