NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	16	2.847460985183716	0.01150983	No	
row_1	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]	18	2.806745767593384	0.023765987	No	
row_2	SPN	sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]	47	2.453096866607666	0.03280508	No	
row_3	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	84	2.256152629852295	0.040486515	No	
row_4	EMID1	EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]	112	2.1667063236236572	0.048330408	No	
row_5	ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	132	2.0725297927856445	0.056254335	No	
row_6	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	152	2.031024217605591	0.06399611	No	
row_7	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	153	2.026374101638794	0.07288916	No	
row_8	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	161	1.9971421957015991	0.081222236	No	
row_9	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	298	1.7235691547393799	0.0803996	No	
row_10	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	331	1.6856334209442139	0.0858239	No	
row_11	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]	519	1.4652676582336426	0.08072262	No	
row_12	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	546	1.4394850730895996	0.085436665	No	
row_13	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	631	1.3585072755813599	0.08621861	No	
row_14	HAPLN4	hyaluronan and proteoglycan link protein 4 [Source:HGNC Symbol;Acc:HGNC:31357]	644	1.3517241477966309	0.091410846	No	
row_15	SPON2	spondin 2 [Source:HGNC Symbol;Acc:HGNC:11253]	805	1.2352176904678345	0.08696499	No	
row_16	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	853	1.2067418098449707	0.08936258	No	
row_17	MMP17	matrix metallopeptidase 17 [Source:HGNC Symbol;Acc:HGNC:7163]	857	1.2042326927185059	0.09446253	No	
row_18	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	859	1.2030394077301025	0.09968058	No	
row_19	LRRC17	leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]	862	1.2016385793685913	0.10483082	No	
row_20	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	912	1.1717183589935303	0.10695138	No	
row_21	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	944	1.1564048528671265	0.11011474	No	
row_22	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	1007	1.1257988214492798	0.111232094	No	
row_23	C17orf58	chromosome 17 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:27568]	1014	1.1230683326721191	0.115790844	No	
